id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
56525,1 bedroom loft w/ private roof deck,268014,alex,brooklyn,greenpoint,40.729,-73.95829,entire home/apt,195,2,69,2019-06-13,0.65,1,58
59642,franklin st flat in trendy greenpoint brooklyn,274782,betty,brooklyn,greenpoint,40.73401,-73.95967,entire home/apt,135,2,69,2019-05-19,0.67,1,12
60457,spacious greenwich village apt,99212,jessica,manhattan,greenwich village,40.73194,-73.99474,entire home/apt,225,5,10,2019-05-11,0.1,1,91
60794,"bright and spacious, garden below!",293394,rachel,manhattan,upper west side,40.80021,-73.96071,entire home/apt,195,4,4,2017-08-25,0.04,1,0
61167,colorful private one bedroom apt,295760,greta,manhattan,little italy,40.71961,-73.9954,entire home/apt,135,2,21,2015-12-12,0.2,1,0
62903,beautiful modern studio apartment in heart of nyc,306605,daniel,manhattan,chelsea,40.74238,-73.99567,entire home/apt,205,9,62,2019-06-21,0.7,2,76
64015,prime east village 1 bedroom,146944,david,manhattan,east village,40.72807,-73.98594,entire home/apt,200,3,0,0,0.0,1,0
65268,share a home - $75 for 1 bdrm/++ for 2 - brooklyn,319092,juhli,brooklyn,bedford-stuyvesant,40.68276,-73.95264,private room,75,5,64,2019-01-05,0.67,1,68
65556,"room in s3rd/bedford, williamsburg",320422,marlon,brooklyn,williamsburg,40.71368,-73.9626,private room,60,3,0,0,0.0,1,0
66251,east village loft with piano & patio,324460,samir,manhattan,east village,40.72681,-73.98534,entire home/apt,212,3,67,2019-06-25,1.31,1,51
69921,brooklyn writer's nook,155689,joab,brooklyn,bushwick,40.70514,-73.91922,private room,70,5,47,2019-06-29,0.49,1,203
70128,"large, sunny room east village nyc",354330,eyal,manhattan,east village,40.73198,-73.98881,private room,65,3,52,2019-01-10,0.63,1,5
71384,gigantic private brooklyn loft!,365153,ben,brooklyn,greenpoint,40.72898,-73.95552,entire home/apt,229,1,50,2014-05-13,0.5,1,188
72265,private room in cozy greenpoint,340692,vanessa,brooklyn,greenpoint,40.72646,-73.95341,private room,59,3,29,2019-06-16,0.36,1,15
74073,food & music dream apartment in williamsburg,211877,daniel,brooklyn,williamsburg,40.71015,-73.96101,entire home/apt,195,4,59,2019-06-23,0.6,1,71
74860,"sunlit and cozy williamsburg/greenpoint, brooklyn",394752,allison,brooklyn,greenpoint,40.72488,-73.95018,private room,55,2,1,2011-03-28,0.01,1,0
77936,hells kitchen garden of eden,134355,moss owen,manhattan,hell's kitchen,40.76248,-73.9913,private room,150,3,36,2019-06-14,0.36,1,49
78919,"historic house boerum hill, bk, nyc",422561,nancy,brooklyn,boerum hill,40.68674,-73.98876,entire home/apt,135,4,6,2016-02-05,0.1,1,0
82549,columbia castle in brooklyn heights,448312,christopher,brooklyn,brooklyn heights,40.6926,-73.99832,private room,100,3,66,2016-09-16,0.68,2,0
83847,east village designer's 1-br apt,410094,yvette,manhattan,east village,40.72451,-73.98094,entire home/apt,225,2,33,2019-01-02,0.33,1,0
84059,so much room in brooklyn,459054,famous,brooklyn,crown heights,40.67591,-73.94715,entire home/apt,150,5,5,2018-07-22,0.05,1,0
95747,lovely 1br in tree-lined wburg,509341,tessa,brooklyn,williamsburg,40.71055,-73.95098,entire home/apt,140,7,13,2016-07-18,0.13,1,0
95883,spacious loft in clinton hill,509918,eduardo,brooklyn,bedford-stuyvesant,40.69465,-73.95458,entire home/apt,200,5,4,2018-12-26,0.07,1,9
98330,lovely apartment in the heart of ny,31374,shon,manhattan,kips bay,40.73877,-73.97707,entire home/apt,125,4,1,2012-01-03,0.01,3,181
101053,colorful artistic williamsburg apt,530032,lee and tara,brooklyn,williamsburg,40.71125,-73.95613,private room,100,3,31,2019-03-01,0.31,1,0
107895,riverside charm with fire place,3088389,kai,manhattan,upper west side,40.77944,-73.98567,entire home/apt,120,5,49,2019-06-19,0.56,1,201
112100,sunny 3br apt ideal for family,572527,marine,brooklyn,crown heights,40.67539,-73.96093,entire home/apt,165,7,3,2013-01-01,0.03,1,157
112304,cozy private room in west harlem!,573316,kelli,manhattan,harlem,40.8054,-73.95189,private room,90,1,1,2016-01-02,0.02,1,0
114969,"manhattan studio, perfect location",582598,andrey,manhattan,midtown,40.75579,-73.96699,entire home/apt,145,6,39,2018-09-24,0.4,1,0
118430,heart of meatpacking & chelsea,585458,paul,manhattan,chelsea,40.74412,-74.00208,private room,290,2,35,2019-01-03,0.36,1,20
118680,spacious east village apt near it all,599354,bobby,manhattan,east village,40.73067,-73.98702,private room,87,2,0,0,0.0,1,0
121687,spacious brooklyn loft - 2 bedroom,262812,vikram,brooklyn,williamsburg,40.72063,-73.95952,entire home/apt,200,2,29,2019-06-23,0.31,1,36
121861,"park slope apt:, spacious 2 bedroom",611716,elizabeth,brooklyn,park slope,40.67644,-73.98082,entire home/apt,165,2,23,2016-05-02,0.23,2,7
126816,gorgeous upper west side apartment,620288,eric,manhattan,upper west side,40.79918,-73.96607,private room,85,1,3,2014-11-06,0.03,1,0
132570,spacious west village 1 b/room king,651390,catherine,manhattan,west village,40.73215,-74.00922,entire home/apt,170,4,24,2017-12-26,0.25,1,0
132695,perfect williamsburg summer haven,507186,holly,brooklyn,williamsburg,40.71109,-73.94332,entire home/apt,125,2,15,2016-06-06,0.15,1,0
135706,the ground studio - west side,665013,jeff,manhattan,chelsea,40.74488,-74.001,entire home/apt,132,4,10,2017-01-01,0.1,1,0
136493,stunning arty 3200sf 3flr+3br townhome w/terrace,663384,irena,brooklyn,park slope,40.67632,-73.97616,entire home/apt,250,7,18,2019-05-27,0.21,1,18
138216,sunny and spacious designer's home,674970,michael,brooklyn,greenpoint,40.72212,-73.94254,entire home/apt,141,5,8,2018-07-08,0.21,1,9
142069,"east village studio, sunny & quiet",277747,josh,manhattan,east village,40.72485,-73.97813,entire home/apt,150,4,22,2014-11-10,0.23,1,0
144148,1 bdrm in 4 bdrm dupelx/roof deck,299755,jonathan,manhattan,east village,40.72217,-73.98419,private room,96,1,34,2016-01-05,0.58,1,0
145064,the heart of prime williamsburg,404424,oliver,brooklyn,williamsburg,40.71943,-73.9565,entire home/apt,145,7,8,2014-06-06,0.08,1,0
145188,parisian apartment in chelsea,703156,kristin,manhattan,chelsea,40.74249,-74.00329,entire home/apt,200,4,0,0,0.0,1,0
145994,cozy 2 bedroom with private garden,706418,carolyn,manhattan,upper west side,40.79264,-73.97294,entire home/apt,95,5,2,2018-07-06,0.08,1,0
146754,three-bedroom house in a quiet neighborhood,709434,meighan,brooklyn,windsor terrace,40.65749,-73.97675,entire home/apt,250,4,52,2019-04-27,0.72,1,188
148201,nyc - sunny greenwich village 1br,715807,john,manhattan,greenwich village,40.72831,-74.00177,entire home/apt,175,3,18,2013-05-31,0.19,1,0
149287,your own apartment off park avenue,720320,nancy,manhattan,upper east side,40.78508,-73.95332,entire home/apt,250,4,0,0,0.0,1,0
150804,lower east side 2 bed apt.,726333,peter,manhattan,lower east side,40.72008,-73.98404,entire home/apt,250,4,19,2019-07-06,0.2,1,0
152071,park slope apartment,731855,wendy,brooklyn,park slope,40.67359,-73.97904,entire home/apt,150,2,0,0,0.0,1,8
158913,"nice, cozy, neat apt greenpoint,bk",762563,lennny & megan,brooklyn,greenpoint,40.72489,-73.95494,entire home/apt,130,5,4,2015-03-13,0.05,1,0
159913,"chelsea living, 2br best location",759883,kaye,manhattan,chelsea,40.74346,-73.99882,private room,150,2,37,2019-07-03,1.79,1,0
160609,location location location uws 60's,769247,ligia,manhattan,upper west side,40.77724,-73.98109,entire home/apt,200,3,10,2019-01-01,0.12,1,0
161394,surfer room 15mins to downtown nyc!,772300,alain,brooklyn,williamsburg,40.71309,-73.94128,private room,90,6,3,2014-08-31,0.03,1,0
162508,beautiful brooklyn oasis,776645,placid,brooklyn,crown heights,40.67212,-73.9506,entire home/apt,130,2,29,2019-06-28,0.35,1,119
165461,couldn't be closer to columbia uni2,867225,rahul,manhattan,morningside heights,40.80525,-73.95916,private room,75,5,57,2019-01-01,0.59,2,201
167013,spacious modern studio apartment in manhattan,306605,daniel,manhattan,chelsea,40.74342,-73.99483,entire home/apt,205,9,3,2018-05-13,0.04,2,76
167017,gorgeous duplex + garden,795889,adam,brooklyn,park slope,40.67853,-73.98089,entire home/apt,219,5,2,2014-08-31,0.03,1,0
168546,spacious duplex in brownstone!,803086,benton,manhattan,east harlem,40.80113,-73.94503,entire home/apt,250,2,11,2016-01-02,0.12,2,68
169002,modern space in charming pre-war,805344,alec,manhattan,harlem,40.82411,-73.94934,private room,65,2,41,2019-06-16,0.43,2,59
169483,very close to downtown awesome private apartment,807642,jeffrey,brooklyn,gravesend,40.60452,-73.97103,entire home/apt,106,7,0,0,0.0,2,0
170420,the happy home!,812814,lena,manhattan,east harlem,40.7932,-73.94007,entire home/apt,79,2,15,2016-02-15,0.16,1,0
170761,"fort greene, brooklyn: front bedroom",67778,doug,brooklyn,fort greene,40.68768,-73.97611,private room,85,2,35,2019-07-02,0.55,2,161
171776,gorgeous 1 bdrm in huge duplex!,803086,benton,manhattan,harlem,40.80224,-73.94558,private room,170,2,17,2015-10-01,0.18,2,88
174527,cozy private family home in bushwick,833926,kris,brooklyn,bushwick,40.69055,-73.92357,entire home/apt,150,2,11,2018-10-28,0.46,1,0
176135,cosy sunny 1brm in prospect heights,842125,jennifer,brooklyn,crown heights,40.67505,-73.95969,entire home/apt,97,3,31,2018-10-23,0.32,1,193
176653,east village bedroom w rooftop,844862,cj,manhattan,east village,40.72974,-73.98201,private room,100,4,49,2019-05-07,0.51,2,43
176962,williamsburg home away from home!,846309,dani,brooklyn,williamsburg,40.70925,-73.95425,entire home/apt,179,4,23,2019-04-13,0.24,1,25
179741,spring & mulberry 2 bedroom apartment,314941,tony,manhattan,nolita,40.72133,-73.99666,entire home/apt,300,1,6,2019-06-28,0.06,3,115
187986,comfort at crossroads of downtown,904833,daniel,manhattan,chelsea,40.73862,-73.99758,entire home/apt,250,1,2,2015-08-28,0.02,1,0
188661,"large, sunny garden apartment.",909146,mj,brooklyn,prospect heights,40.68262,-73.97299,entire home/apt,170,3,67,2018-10-20,0.7,1,129
188674,union square/ e. vill 1br beautiful,909234,leslie,manhattan,east village,40.73217,-73.98801,entire home/apt,165,1,63,2018-01-12,0.68,1,0
190267,large luxury upper east side studio,918866,marina,manhattan,upper east side,40.76684,-73.95944,entire home/apt,169,7,39,2019-07-07,0.41,1,44
190968,lovely brooklyn brownstone 1br!,922922,karen,brooklyn,prospect heights,40.67946,-73.96501,entire home/apt,215,3,33,2019-05-08,0.35,1,156
193853,quiet chelsea studio w/charm,48599,anastasia,manhattan,chelsea,40.74033,-74.00024,entire home/apt,149,6,23,2018-05-21,0.27,2,0
194154,large room overlooking central park,936830,elina,manhattan,upper west side,40.7969,-73.96128,private room,89,6,35,2017-06-18,0.37,1,180
195578,loft style apt in williamsburg,304493,erika,brooklyn,williamsburg,40.70275,-73.94501,private room,85,1,46,2018-12-30,0.97,1,59
196010,huge bklyn loft w private roofdeck,953565,vanessa,brooklyn,park slope,40.67595,-73.98053,entire home/apt,265,5,15,2015-06-14,0.16,1,0
199195,modern bedroom in hamilton heights,971075,jabari,manhattan,harlem,40.82922,-73.94174,private room,75,3,50,2019-03-30,0.65,2,38
200645,best manhattan studio deal!,933378,edo,manhattan,upper east side,40.76739,-73.9557,shared room,90,1,0,0,0.0,1,0
203901,beautiful ues apartment,1000477,elizabeth,manhattan,upper east side,40.7694,-73.9572,entire home/apt,190,1,8,2016-09-18,0.08,1,0
206316,"sunny, spacious studio in ft.greene",1014639,brett,brooklyn,fort greene,40.68765,-73.97073,entire home/apt,157,2,4,2018-08-27,0.18,1,0
208148,central bedford avenue apartment,1024355,martina,brooklyn,williamsburg,40.71973,-73.95582,entire home/apt,185,3,14,2015-08-31,0.15,1,0
208889,welcome to brooklyn! bed-stuy,1029021,jameelah,brooklyn,bedford-stuyvesant,40.69025,-73.93323,entire home/apt,145,3,30,2019-06-24,0.32,3,11
211974,east village house -- unique!,272730,goldi,manhattan,east village,40.72956,-73.97903,entire home/apt,250,1,60,2019-07-01,0.65,1,0
212544,quiet one bedroom in park slope,1096084,daniel,brooklyn,gowanus,40.67688,-73.9859,entire home/apt,100,7,9,2016-06-23,0.1,1,0
213272,creative live-in artspace/birdsnest,293130,meli,brooklyn,bushwick,40.70051,-73.92204,private room,40,1,1,2019-04-21,0.37,1,5
215907,"2 bed, 2 bath apartment on central park west",1114587,keenan & emily,manhattan,upper west side,40.79816,-73.9619,entire home/apt,300,2,45,2019-04-22,0.47,3,31
219066,"wonderful studio in brooklyn, ny!!!",447754,yana,brooklyn,bensonhurst,40.61922,-73.99399,entire home/apt,110,1,24,2019-01-19,0.26,1,183
219482,a cozy brooklyn hideaway,759583,pepe,brooklyn,clinton hill,40.68275,-73.96148,entire home/apt,172,4,8,2017-10-14,0.09,2,189
219793,✿✿✿ country cottage in the city✿✿✿,1138692,keera (jena),manhattan,lower east side,40.71813,-73.98416,entire home/apt,199,1,29,2015-06-03,0.31,2,162
219818,✿✿✿ country cottage in the city✿✿✿,1138692,keera (jena),manhattan,lower east side,40.71892,-73.98401,entire home/apt,199,1,14,2015-07-20,0.15,2,158
219922,"lovely bdr in harlem, manhattan",1139574,carmel,manhattan,harlem,40.816,-73.95545,private room,100,1,33,2019-05-25,0.38,1,84
220563,lovely huge master bed + study,918087,kestrel,brooklyn,bedford-stuyvesant,40.68634,-73.95088,private room,75,3,59,2017-01-05,0.62,3,0
221043,1 bedroom in prime flatiron,846050,eziah,manhattan,noho,40.72956,-73.99287,private room,250,2,0,0,0.0,1,0
222304,best deal in chelsea 1 bdrm nyc,1153993,anton,manhattan,chelsea,40.74233,-73.99865,entire home/apt,199,4,32,2019-05-08,0.34,1,28
224004,artsy loft-like harlem apartment,1165231,deirdre,manhattan,harlem,40.80486,-73.95298,private room,69,1,59,2018-10-26,0.63,2,86
224510,"beautiful apartment, great location",991380,stefania,brooklyn,boerum hill,40.68653,-73.98562,entire home/apt,230,4,18,2018-07-05,0.21,1,0
225297,quiet sunny studio midtown,1173599,gaya,manhattan,midtown,40.74267,-73.98569,entire home/apt,125,4,3,2018-12-26,0.03,1,0
228496,"spacious, kid-friendly 2 br in west village",1192424,gordon,manhattan,west village,40.73507,-74.00048,entire home/apt,225,3,13,2019-05-26,0.15,1,83
229874,oversized studio in park slope,507304,derrick,brooklyn,sunset park,40.66293,-73.99833,entire home/apt,200,5,1,2012-01-02,0.01,1,0
230321,apt with empirestate view-subway around the corner,1203500,civan,brooklyn,bedford-stuyvesant,40.69046,-73.95167,entire home/apt,80,2,35,2019-06-09,0.4,1,36
235552,huge sunny duplex loft with garden,1234405,bertie,brooklyn,south slope,40.66414,-73.98574,entire home/apt,300,1,40,2019-06-16,0.44,1,0
236806,charming 2bdrm apt in east village,1151987,juvie,manhattan,east village,40.72264,-73.9837,entire home/apt,160,4,0,0,0.0,1,0
239055,nolita penthouse_private deck_elev_,65064,ashley & nir,manhattan,chinatown,40.71892,-73.99628,entire home/apt,300,7,2,2014-10-06,0.03,1,0
239766,lower east side/chinatown 1 bedroom,1257309,austin,manhattan,lower east side,40.71693,-73.98948,entire home/apt,100,5,8,2018-05-18,0.11,1,0
241159,clinton hill 1 bed bright loft apartment,1264655,ruari,brooklyn,bedford-stuyvesant,40.69221,-73.95866,entire home/apt,110,6,8,2019-01-03,0.33,1,4
242643,"big 1br, sleeps 4, dishwashr, tv",1273825,lauryn,brooklyn,williamsburg,40.70832,-73.94157,entire home/apt,137,1,24,2019-01-01,0.29,1,0
246351,"sweet apt, steps from gramercy park",1292250,jerry,manhattan,gramercy,40.73834,-73.9823,entire home/apt,135,1,5,2015-08-17,0.06,1,0
249414,large & bright 900ft² 1br in wv,1306587,andy,manhattan,west village,40.73291,-74.00059,entire home/apt,246,4,6,2017-06-28,0.16,1,0
250311,1 bedroom available in my two bedroom flat,945499,kyle,brooklyn,crown heights,40.67495,-73.95563,private room,150,3,0,0,0.0,1,0
250323,spacious private little italy flat,1311870,christy,manhattan,chinatown,40.71582,-73.99902,entire home/apt,119,1,49,2014-12-03,0.58,1,0
252607,whole apartment / 2 bedroom in nyc,1325961,chris,manhattan,east harlem,40.79493,-73.94462,entire home/apt,200,3,49,2018-08-09,0.53,2,0
254409,husband & wife art-filled apartment,1336542,stephanie,brooklyn,clinton hill,40.68197,-73.96549,entire home/apt,110,1,2,2014-01-13,0.03,1,0
258688,spacious & stylish chelsea one bedroom apartment,436599,chad,manhattan,west village,40.74031,-74.00532,entire home/apt,325,4,46,2019-06-02,0.5,1,20
260451,fort greene brownstone 1br- sublet,52335,alexander,brooklyn,fort greene,40.69142,-73.97203,entire home/apt,70,7,4,2017-08-28,0.05,2,0
261194,cozy artist duplex **bedstuy charm**,696482,christine,brooklyn,bedford-stuyvesant,40.68338,-73.95289,entire home/apt,130,3,18,2019-06-18,0.25,1,1
261259,apartment in best location in nyc,1370358,keiko,manhattan,west village,40.72953,-74.00462,entire home/apt,145,7,11,2015-05-27,0.12,1,0
261674,chelsea/west village - 2bdrm apt,1372786,lindsey,manhattan,chelsea,40.74025,-74.00161,private room,95,5,20,2017-04-01,0.33,1,0
262405,spacious townhome apt in brooklyn,1376778,wade,brooklyn,east flatbush,40.64468,-73.94219,entire home/apt,92,4,54,2019-06-24,0.62,1,27
263190,room in east village with private entrance,1020539,dominique,manhattan,east village,40.72534,-73.98591,private room,88,2,69,2019-01-01,0.91,2,0
263232,cozy&clean in a great neighborhood,1381171,nicole,manhattan,harlem,40.82151,-73.94516,entire home/apt,155,1,1,2019-01-27,0.18,1,5
265036,private room w/ queen bed + rooftop,21188,leo,brooklyn,crown heights,40.6711,-73.95231,private room,99,2,20,2019-06-09,0.59,1,98
265145,studio sublet in hell's kitchen,1390947,akiko,manhattan,theater district,40.76217,-73.98411,entire home/apt,200,5,8,2015-01-08,0.09,1,0
265831,bright unique designer loft in soho,1394190,jen,manhattan,nolita,40.72313,-73.99438,entire home/apt,310,5,5,2018-07-05,0.09,1,89
266437,west village cozy 2 bedroom  nyc,1397061,asia joanna,manhattan,chelsea,40.74139,-74.0005,entire home/apt,220,4,0,0,0.0,1,0
267708,"charming hotel alternative
mount sinai",661399,vivianne,manhattan,east harlem,40.79111,-73.94466,private room,99,3,25,2019-06-15,0.96,2,127
268392,sunny 2-bdrm child-friendly uptwn by centrl park!,1406773,eyal and amy,manhattan,harlem,40.79951,-73.95257,entire home/apt,130,2,35,2019-05-27,0.42,1,41
269283,brooklyn: a huge bedroom + good vibes,1410714,antoinette,brooklyn,crown heights,40.66431,-73.93216,private room,50,3,26,2019-02-16,0.33,1,158
270345,super cute east village apartment,1415590,cameron,manhattan,east village,40.72454,-73.99151,entire home/apt,250,3,24,2019-06-27,0.26,1,16
271128,tranquil in the heart of brooklyn 2,1417166,lex,brooklyn,bedford-stuyvesant,40.68884,-73.95059,private room,60,5,9,2019-06-25,0.19,2,33
271130,tranquil in the heart of brooklyn 1,1417166,lex,brooklyn,bedford-stuyvesant,40.6865,-73.95372,private room,65,5,45,2019-05-26,0.52,2,0
271950,huge luxury 1br apt near central park south(4 ppl),1362808,max,manhattan,upper east side,40.76373,-73.96897,entire home/apt,300,3,5,2018-12-31,0.08,1,27
272706,"sunny, spacious apt. in  ft. greene",1402817,valerie,brooklyn,fort greene,40.69135,-73.97321,entire home/apt,88,5,7,2017-06-18,0.08,1,0
272738,guest room in authentic williamsburg factory loft,1427381,elizabeth,brooklyn,williamsburg,40.70513,-73.95505,private room,60,2,35,2019-06-30,0.38,2,161
273256,beautiful bed and bath - manhattan,1429642,delia,manhattan,east harlem,40.79793,-73.93612,private room,200,6,0,0,0.0,1,0
274062,beautiful room near central park!,1433395,stacia,manhattan,harlem,40.80285,-73.95166,private room,99,2,54,2019-06-24,0.88,1,50
277883,sunny entire apt with romantic bedroom,950657,michelle,brooklyn,prospect-lefferts gardens,40.65689,-73.9533,entire home/apt,70,6,58,2017-12-29,0.63,1,0
278145,large room in a huge ny apartment.,1452026,heidi,queens,astoria,40.77117,-73.91905,private room,30,5,3,2017-06-20,0.03,1,0
278876,"large, furnished room in a 2 bedroom!",368528,ally,brooklyn,crown heights,40.66984,-73.95141,private room,64,1,1,2017-03-18,0.04,1,0
279969,cozy brownstone inn i(studio),240427,naimah,brooklyn,bedford-stuyvesant,40.68255,-73.91957,entire home/apt,100,3,63,2019-06-18,0.72,2,5
280315,crown height's brooklyn cozy apt,1151818,gabrielle,brooklyn,crown heights,40.67392,-73.94662,entire home/apt,250,5,26,2014-10-31,0.28,1,0
281756,authentic ny charming artist loft,1468658,barbara,brooklyn,greenpoint,40.73321,-73.95587,entire home/apt,140,5,14,2019-06-19,0.16,1,0
282514,"own room & bath, sunny town house, 18"" to wall st",1464358,dian,brooklyn,bedford-stuyvesant,40.68106,-73.9292,private room,97,3,29,2019-06-25,1.57,1,118
283090,spacious east village apartment,511175,luis,manhattan,east village,40.7241,-73.97899,entire home/apt,180,7,24,2018-08-10,0.26,2,125
283550,hells kitchen ground fl 1-bedroom,1476954,jose,manhattan,hell's kitchen,40.76001,-73.99133,entire home/apt,175,3,10,2019-04-21,0.23,1,0
284208,pre war park slope on prospect park,1366270,louisa,brooklyn,south slope,40.66441,-73.97974,private room,65,4,36,2018-11-12,0.47,2,80
285442,huge room with private balcony,1475866,jesper,manhattan,east village,40.73119,-73.98819,private room,300,6,1,2013-05-06,0.01,1,0
287397,bed stuy pride! welcome to brooklyn,1029021,jameelah,brooklyn,bedford-stuyvesant,40.68991,-73.93179,entire home/apt,100,3,21,2019-06-24,0.23,3,43
287417,hot spot for 20 and 30 something's,1495196,yvette,brooklyn,bedford-stuyvesant,40.68174,-73.91921,entire home/apt,300,2,40,2019-06-23,0.68,1,0
287481,bright loft apt w skylight in wburg,1495502,olly,brooklyn,williamsburg,40.70839,-73.94289,entire home/apt,120,6,66,2019-05-01,0.72,2,17
289020,sunny 1br center of east village!,347036,jasmine,manhattan,east village,40.72948,-73.98694,entire home/apt,179,8,15,2018-08-29,0.19,1,0
289037,"2br in cobble hill, brooklyn, ny",632334,michael,brooklyn,carroll gardens,40.68353,-73.9914,entire home/apt,189,2,13,2016-09-05,0.18,1,0
289703,beautiful soho luxury apartment,815741,geoff,manhattan,soho,40.7253,-73.99916,entire home/apt,249,5,8,2016-11-26,0.11,1,0
289995,zen minimalist w/garden- bedford l stop,1505217,pia,brooklyn,greenpoint,40.71947,-73.95252,entire home/apt,250,4,46,2019-06-23,0.52,1,121
291524,big luxury lincoln center area studio + !!,1470688,philip,manhattan,upper west side,40.77338,-73.98887,entire home/apt,209,7,14,2019-06-25,0.16,1,205
291812,"entire apartment in astoria, 15mins from manhattan",1509416,natalia,queens,astoria,40.76856,-73.91828,entire home/apt,70,5,1,2016-08-30,0.03,1,0
